Test,Chi2,p_value,DoF,p_adj (FDR),Significant (FDR<0.05)
GMM_k5: 10 vs 100 genes,118.56522295687793,1.0362249922423527e-17,16,5.181124961211763e-17,True
GMM_k5: 10 vs 1000 genes,71.97629832369991,4.485778150849153e-09,16,7.476296918081922e-09,True
GMM_k5: 10 vs 10000 genes,84.6636823054548,2.3767041780361163e-11,16,5.94176044509029e-11,True
GMM_k5: 100 vs 1000 genes,97.2066631701769,1.1533159135009043e-13,16,3.844386378336348e-13,True
GMM_k5: 100 vs 10000 genes,168.1873112305004,1.9353019395868116e-27,16,1.9353019395868116e-26,True
GMM_k5: 1000 vs 10000 genes,75.10737608358372,1.2512756770006338e-09,16,2.5025513540012677e-09,True
GMM_k5 @ 10 genes vs Group,0.0,1.0,0,1.0,False
GMM_k5 @ 100 genes vs Group,0.0,1.0,0,1.0,False
GMM_k5 @ 1000 genes vs Group,0.0,1.0,0,1.0,False
GMM_k5 @ 10000 genes vs Group,0.0,1.0,0,1.0,False
