refinebio_accession_code	Group
ERR2209858	C3
ERR2209859	C0
ERR2209860	C0
ERR2209861	C0
ERR2209862	C0
ERR2209863	C0
ERR2209864	C0
ERR2209865	C0
ERR2209866	C0
ERR2209867	C0
ERR2209868	C0
ERR2209869	C0
ERR2209870	C0
ERR2209871	C4
ERR2209872	C0
ERR2209873	C0
ERR2209874	C0
ERR2209875	C0
ERR2209876	C0
ERR2209877	C0
ERR2209878	C0
ERR2209879	C0
ERR2209880	C0
ERR2209881	C0
ERR2209882	C0
ERR2209883	C4
ERR2209884	C0
ERR2209885	C0
ERR2209886	C0
ERR2209887	C0
ERR2209888	C0
ERR2209889	C0
ERR2209890	C0
ERR2209891	C1
ERR2209892	C1
ERR2209893	C4
ERR2209894	C2
ERR2209895	C0
ERR2209896	C4
ERR2209897	C0
ERR2209898	C0
ERR2209899	C0
ERR2209900	C0
ERR2209901	C0
ERR2209902	C0
ERR2209903	C0
ERR2209904	C0
ERR2209905	C0
ERR2209906	C0
ERR2209907	C0
ERR2209908	C0
ERR2209909	C0
ERR2209910	C4
ERR2209911	C0
ERR2209912	C1
ERR2209913	C1
ERR2209914	C1
ERR2209915	C0
ERR2209916	C0
ERR2209917	C0
ERR2209918	C0
ERR2209919	C0
ERR2209920	C0
ERR2209921	C0
ERR2209922	C0
ERR2209923	C1
ERR2209924	C0
ERR2209925	C0
ERR2209926	C1
ERR2209927	C0
ERR2209928	C1
ERR2209929	C0
ERR2209930	C0
ERR2209931	C1
ERR2209932	C1
