gene,importance
ENSG00000171067,0.013999999999999997
ENSG00000163884,0.011999999999999986
ENSG00000137054,0.01
ENSG00000283703,0.009999999999999997
ENSG00000188488,0.009999999999999995
ENSG00000022267,0.008145454545454543
ENSG00000265107,0.007999999999999998
ENSG00000124145,0.007999999999999998
ENSG00000160408,0.007999999999999997
ENSG00000146433,0.007999999999999997
ENSG00000114737,0.007999999999999995
ENSG00000141696,0.00785454545454545
ENSG00000183114,0.007776329331046306
ENSG00000083857,0.007640259740259738
ENSG00000115325,0.0075767410412440825
ENSG00000164932,0.006
ENSG00000143870,0.006
ENSG00000171314,0.005999999999999999
ENSG00000204262,0.005999999999999999
ENSG00000099260,0.005999999999999999
ENSG00000265972,0.005999999999999998
ENSG00000170266,0.005999999999999997
ENSG00000189058,0.005999999999999997
ENSG00000166508,0.005999999999999996
ENSG00000123689,0.005999999999999996
ENSG00000171385,0.005999999999999996
ENSG00000105373,0.005999999999999995
ENSG00000119812,0.005999999999999995
ENSG00000112576,0.005999999999999994
ENSG00000196199,0.005999999999999994
ENSG00000148303,0.005999999999999993
ENSG00000114626,0.005999999999999993
ENSG00000101017,0.005999999999999993
ENSG00000158195,0.005999999999999992
ENSG00000285410,0.005999999999999992
ENSG00000167645,0.0059999999999999915
ENSG00000179222,0.0059272727272727185
ENSG00000011201,0.005923076923076921
ENSG00000107372,0.005923076923076914
ENSG00000132589,0.005847605224963711
ENSG00000221869,0.005836734693877547
ENSG00000166441,0.0057776223776223766
ENSG00000179604,0.005769439071566726
ENSG00000138801,0.005762820512820506
ENSG00000197119,0.0056980056980056905
ENSG00000151348,0.004153687821612352
ENSG00000113578,0.004150943396226415
ENSG00000170382,0.004000000000000004
ENSG00000134602,0.004
ENSG00000133321,0.004
ENSG00000070756,0.004
ENSG00000172830,0.004
ENSG00000124214,0.004
ENSG00000161011,0.004
ENSG00000169228,0.003999999999999999
ENSG00000100095,0.003999999999999998
ENSG00000267100,0.003999999999999998
ENSG00000156976,0.003999999999999998
ENSG00000204628,0.003999999999999998
ENSG00000185022,0.003999999999999998
ENSG00000128309,0.003999999999999998
ENSG00000123131,0.0039999999999999975
ENSG00000187957,0.0039999999999999975
ENSG00000196666,0.0039999999999999975
ENSG00000131473,0.0039999999999999975
ENSG00000073969,0.003999999999999997
ENSG00000090520,0.003999999999999997
ENSG00000119138,0.003999999999999997
ENSG00000053254,0.003999999999999996
ENSG00000106819,0.003999999999999996
ENSG00000145908,0.003999999999999996
ENSG00000168938,0.003999999999999996
ENSG00000141569,0.003999999999999995
ENSG00000148730,0.003999999999999995
ENSG00000152952,0.003999999999999994
ENSG00000100906,0.003999999999999993
