gene,importance
ENSG00000108821,0.0
ENSG00000139219,0.0
ENSG00000168542,0.0
ENSG00000189058,0.0
ENSG00000164692,0.0
ENSG00000166509,0.0
ENSG00000280614,0.0
ENSG00000149968,0.0
ENSG00000229807,0.0
ENSG00000211445,0.0
ENSG00000041982,0.0
ENSG00000116690,0.0
ENSG00000113140,0.0
ENSG00000138615,0.0
ENSG00000064886,0.0
ENSG00000125148,0.0
ENSG00000170891,0.0
ENSG00000106809,0.0
ENSG00000215183,0.0
ENSG00000112562,0.0
ENSG00000029559,0.0
ENSG00000106819,0.0
ENSG00000133048,0.0
ENSG00000120738,0.0
ENSG00000166033,0.0
ENSG00000160161,0.0
ENSG00000092758,0.0
ENSG00000204248,0.0
ENSG00000095713,0.0
ENSG00000112096,0.0
ENSG00000121005,0.0
ENSG00000166923,0.0
ENSG00000163359,0.0
ENSG00000136457,0.0
ENSG00000130600,0.0
ENSG00000204262,0.0
ENSG00000130635,0.0
ENSG00000060718,0.0
ENSG00000265972,0.0
ENSG00000133110,0.0
ENSG00000120708,0.0
ENSG00000136859,0.0
ENSG00000049089,0.0
ENSG00000170345,0.0
ENSG00000168209,0.0
ENSG00000054938,0.0
ENSG00000187193,0.0
ENSG00000137801,0.0
ENSG00000283907,0.0
ENSG00000188488,0.0
ENSG00000169715,0.0
ENSG00000145681,0.0
ENSG00000087245,0.0
ENSG00000115461,0.0
ENSG00000091513,0.0
ENSG00000131386,0.0
ENSG00000164106,0.0
ENSG00000162998,0.0
ENSG00000154175,0.0
ENSG00000118785,0.0
ENSG00000119147,0.0
ENSG00000175899,0.0
ENSG00000109610,0.0
ENSG00000197249,0.0
ENSG00000266524,0.0
ENSG00000111341,0.0
ENSG00000122176,0.0
ENSG00000142173,0.0
ENSG00000135821,0.0
ENSG00000188257,0.0
ENSG00000137441,0.0
ENSG00000142156,0.0
ENSG00000198695,0.0
ENSG00000112280,0.0
ENSG00000211459,0.0
ENSG00000245532,0.0
ENSG00000118523,0.0
ENSG00000240583,0.0
ENSG00000168477,0.0
ENSG00000171223,0.0
ENSG00000091986,0.0
ENSG00000104635,0.0
ENSG00000139329,0.0
ENSG00000100234,0.0
ENSG00000205542,0.0
ENSG00000111799,0.0
ENSG00000196136,0.0
ENSG00000106624,0.0
ENSG00000188783,0.0
ENSG00000127083,0.0
ENSG00000113296,0.0
ENSG00000187955,0.0
ENSG00000113739,0.0
ENSG00000182600,0.0
ENSG00000165507,0.0
ENSG00000163710,0.0
ENSG00000163430,0.0
ENSG00000101825,0.0
ENSG00000123500,0.0
ENSG00000000971,0.0
ENSG00000106333,0.0
ENSG00000196352,0.0
ENSG00000168077,0.0
ENSG00000231500,0.0
ENSG00000149131,0.0
ENSG00000176971,0.0
ENSG00000173546,0.0
ENSG00000102804,0.0
ENSG00000142871,0.0
ENSG00000167244,0.0
ENSG00000168056,0.0
ENSG00000228253,0.0
ENSG00000133112,0.0
ENSG00000145623,0.0
ENSG00000159388,0.0
ENSG00000197728,0.0
ENSG00000119681,0.0
ENSG00000182492,0.0
ENSG00000145425,0.0
ENSG00000099860,0.0
ENSG00000105835,0.0
ENSG00000167526,0.0
ENSG00000136110,0.0
ENSG00000204291,0.0
ENSG00000261857,0.0
ENSG00000119938,0.0
ENSG00000198732,0.0
ENSG00000185633,0.0
ENSG00000164176,0.0
ENSG00000198786,0.0
ENSG00000198840,0.0
ENSG00000148180,0.0
ENSG00000157766,0.0
ENSG00000105664,0.0
ENSG00000075624,0.0
ENSG00000163975,0.0
ENSG00000198727,0.0
ENSG00000159403,0.0
ENSG00000050165,0.0
ENSG00000102265,0.0
ENSG00000137154,0.0
ENSG00000087086,0.0
ENSG00000084636,0.0
ENSG00000019582,0.0
ENSG00000166710,0.0
ENSG00000152952,0.0
ENSG00000160111,0.0
ENSG00000198373,0.0
ENSG00000123384,0.0
ENSG00000110321,0.0
ENSG00000154122,0.0
ENSG00000136156,0.0
ENSG00000158747,0.0
ENSG00000163682,0.0
ENSG00000127954,0.0
ENSG00000140988,0.0
ENSG00000137573,0.0
ENSG00000177954,0.0
ENSG00000159307,0.0
ENSG00000198763,0.0
ENSG00000100985,0.0
ENSG00000229117,0.0
ENSG00000198899,0.0
ENSG00000026025,0.0
ENSG00000116285,0.0
ENSG00000120885,0.0
ENSG00000196739,0.0
ENSG00000183098,0.0
ENSG00000120129,0.0
ENSG00000167772,0.0
ENSG00000142541,0.0
ENSG00000198888,0.0
ENSG00000212907,0.0
ENSG00000198712,0.0
ENSG00000198034,0.0
ENSG00000125740,0.0
ENSG00000129824,0.0
ENSG00000166741,0.0
ENSG00000221869,0.0
ENSG00000128016,0.0
ENSG00000129009,0.0
ENSG00000089157,0.0
ENSG00000196562,0.0
ENSG00000108654,0.0
ENSG00000182718,0.0
ENSG00000065320,0.0
ENSG00000078596,0.0
ENSG00000167996,0.0
ENSG00000064309,0.0
ENSG00000164733,0.0
ENSG00000157514,0.0
ENSG00000172037,0.0
ENSG00000134333,0.0
ENSG00000142676,0.0
ENSG00000068697,0.0
ENSG00000143387,0.0
ENSG00000147403,0.0
ENSG00000187498,0.0
ENSG00000145730,0.0
ENSG00000142534,0.0
ENSG00000143878,0.0
ENSG00000156508,0.0
ENSG00000142798,0.0
ENSG00000163453,0.0
ENSG00000210082,0.0
ENSG00000124942,0.0
ENSG00000134531,0.0
ENSG00000047457,0.0
ENSG00000160789,0.0
ENSG00000035862,0.0
ENSG00000143127,0.0
ENSG00000130592,0.0
ENSG00000111640,0.0
ENSG00000144713,0.0
ENSG00000198886,0.0
ENSG00000101439,0.0
ENSG00000137818,0.0
ENSG00000129596,0.0
ENSG00000118181,0.0
ENSG00000260916,0.0
ENSG00000067225,0.0
ENSG00000008988,0.0
ENSG00000132031,0.0
ENSG00000251562,0.0
ENSG00000167658,0.0
ENSG00000150991,0.0
ENSG00000244734,0.0
ENSG00000116679,0.0
ENSG00000074800,0.0
ENSG00000198938,0.0
ENSG00000135916,0.0
ENSG00000204287,0.0
ENSG00000143196,0.0
ENSG00000140545,0.0
ENSG00000100316,0.0
ENSG00000198682,0.0
ENSG00000124145,0.0
ENSG00000136235,0.0
ENSG00000159713,0.0
ENSG00000196154,0.0
ENSG00000102313,0.0
ENSG00000161016,0.0
ENSG00000147454,0.0
ENSG00000071967,0.0
ENSG00000112306,0.0
ENSG00000169439,0.0
ENSG00000143947,0.0
ENSG00000141753,0.0
ENSG00000174748,0.0
ENSG00000152583,0.0
ENSG00000169604,0.0
ENSG00000225339,0.0
ENSG00000122026,0.0
ENSG00000118985,0.0
ENSG00000198804,0.0
ENSG00000134871,0.0
ENSG00000115380,0.0
ENSG00000197958,0.0
ENSG00000004799,0.0
ENSG00000162692,0.0
ENSG00000082781,0.0
ENSG00000178209,0.0
ENSG00000150093,0.0
ENSG00000166598,0.0
ENSG00000213614,0.0
ENSG00000197747,0.0
ENSG00000113916,0.0
