Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	67/90	1.152929e-43	4.822700e-40	0	0	2.273875e+01	2.248154e+03	RPL4;RPL5;SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPS7;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	68/94	6.326249e-43	1.323135e-39	0	0	2.042083e+01	1.984220e+03	RPL4;RPL5;SRP19;RPL30;RPL3;ARL6IP1;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPS7;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	66/93	7.831289e-41	1.091943e-37	0	0	1.906818e+01	1.760906e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPS7;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;EIF3M;RPS28;RPS27;EIF3I;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	68/103	7.741284e-39	8.095448e-36	0	0	1.516202e+01	1.330532e+03	RPL4;RPL5;SRP19;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPS7;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;SRPRB;RPS20;RPS21;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	68/113	4.605171e-35	3.852686e-32	0	0	1.178600e+01	9.318399e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;UPF2;RPS9;RPS7;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	73/162	1.039615e-26	7.247846e-24	0	0	6.395570e+00	3.826365e+02	RPL4;RPL5;PCSK1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;MRPL41;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPS7;RPS5;PABPC4;RPL22;RPS6;RPL13A;RPSA;EEF1A1;SARS1;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RRBP1;RPS4Y1;RPS15A;RPL14;RPS3;EIF4EBP2;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RSL24D1;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	83/214	9.626187e-25	5.752334e-22	0	0	4.950451e+00	2.737607e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;MRPL41;EEF1B2;RPS14;TRMT112;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;MRPS24;RPS7;PABPC4;RPS5;RPL22;RPS6;MRPS2;RPL13A;RPSA;EEF1A1;EEF1G;SARS1;EEF1D;NOA1;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;KARS1;RPL12;RPL11;RPL36A;RRBP1;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;EIF4EBP2;RPL15;RPS2;IARS1;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RSL24D1;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	72/171	3.647605e-24	1.907242e-21	0	0	5.665055e+00	3.057315e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;ZFP36;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;UPF2;RPS9;RPS7;RPS5;RPL22;RPS6;RPL13A;RPSA;CSDE1;RPL37A;RPL24;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;SAMD4A;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;RPS20;CNOT9;RPS21;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	90/314	1.427959e-16	6.636834e-14	0	0	3.132421e+00	1.142867e+02	RPL4;RPL5;RPL30;RPL3;RPL32;MCM7;RPL31;MCM8;RPL34;RPLP1;RPLP0;SCX;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;MRPL41;EEF1B2;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;POLL;RPL37;RPS11;RPS10;RPS13;RFC5;RPS9;RPS7;RFC2;PABPC4;RPS5;RPL22;RPS6;RPL13A;RPSA;MLF1;EEF1A1;EEF1G;SARS1;EEF1D;RPL37A;RPL24;RPL26;TOP1;RPL29;RPL28;RPL12;GCNT1;RPL11;RPL36A;RRBP1;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;EIF4EBP2;RPL15;RPS2;RPL18;RPS27A;POLR2I;RPL17;RPL19;RPL41;RPL35A;RPL23A;EEF2;EXT2;RPS25;XAB2;RPS28;RPS27;RPL27A;RPS20;RPS21;RSL24D1;EIF4G2;RPS23;RAD9A
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	59/162	1.769858e-16	7.403317e-14	0	0	4.435344e+00	1.608720e+02	RPL4;TRIR;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;FBL;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS9;WDR36;RPS7;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;DDX27;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;NOP53
GO_Biological_Process_2021	rRNA processing (GO:0006364)	60/173	1.365472e-15	5.192517e-13	0	0	4.110830e+00	1.407025e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;FBL;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS9;WDR36;RPS7;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;DDX27;PRKDC;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RSL1D1;RPS28;RPS27;RPL27A;NOP53
