Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	procollagen-proline dioxygenase activity (GO:0019798)	6/8	5.615830e-05	2.426038e-02	0	0	2.282946e+01	2.234396e+02	P4HA1;P4HA2;P4HA3;P3H2;P3H3;P4HB
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	6/8	5.615830e-05	2.426038e-02	0	0	2.282946e+01	2.234396e+02	RPS15;RPL5;RPS7;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	14/41	1.332661e-04	3.278493e-02	0	0	3.953872e+00	3.528104e+01	EIF1;EIF3M;EIF3K;EIF3L;EIF3I;EIF3G;EIF3H;EIF3F;EIF3C;EIF3D;EIF4G3;EIF3A;EIF4G2;EIF2A
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	6/9	1.517821e-04	3.278493e-02	0	0	1.521878e+01	1.338197e+02	RPS15;RPL5;RPS7;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	procollagen-proline 4-dioxygenase activity (GO:0004656)	4/5	8.306136e-04	1.265926e-01	0	0	3.041480e+01	2.157427e+02	P4HA1;P4HA2;P4HA3;P4HB
GO_Molecular_Function_2021	peptidyl-proline 4-dioxygenase activity (GO:0031545)	5/8	8.791155e-04	1.265926e-01	0	0	1.267685e+01	8.920188e+01	EGLN1;P4HA1;P4HA2;P4HA3;P4HB
GO_Molecular_Function_2021	mRNA 5'-UTR binding (GO:0048027)	8/25	5.803338e-03	6.830304e-01	0	0	3.581136e+00	1.844042e+01	RPL5;RPS14;RSL1D1;RPL41;RPS7;SHMT1;RPL26;RPS13
GO_Molecular_Function_2021	rRNA binding (GO:0019843)	11/42	7.207526e-03	6.830304e-01	0	0	2.701644e+00	1.332621e+01	RPL5;RPS14;RPS9;RPL12;RPS5;RPL11;RPLP0;RPS3;CIRBP;NOP53;RPS13
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	44/263	8.444551e-03	6.830304e-01	0	0	1.535262e+00	7.329701e+00	RPL5;SHMT1;YBX3;ELAVL2;RPL7;NYNRIN;FXR1;RPS14;ZFP36;PCBP4;PCBP2;RPS3;RPL35;RPS2;NUDT16;RPS13;EIF2A;RBFOX1;RPL41;YTHDF2;YTHDF3;RPS7;PABPC4;RPS5;CNBP;CIRBP;SAMD4A;RPL13A;THOC5;PTBP3;DAZL;RSL1D1;PKM;ESRP2;HNRNPA2B1;RPL26;CALR;PABPC1;EIF4G3;LSM14A;EIF3D;RBMX;EIF4G2;EIF3A
GO_Molecular_Function_2021	pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	4/8	8.700230e-03	6.830304e-01	0	0	7.602410e+00	3.606892e+01	SLC35A2;SLC35B4;SLC35D1;SLC35D2
GO_Molecular_Function_2021	ionotropic glutamate receptor activity (GO:0004970)	6/17	9.800509e-03	6.830304e-01	0	0	4.148696e+00	1.918905e+01	GRIA2;GRIN2A;GRIK3;GRIK1;GRIN2C;GRIA3
GO_Molecular_Function_2021	annealing activity (GO:0097617)	3/5	1.313328e-02	6.830304e-01	0	0	1.140000e+01	4.939171e+01	FXR1;EIF4H;EIF4B
GO_Molecular_Function_2021	large ribosomal subunit rRNA binding (GO:0070180)	3/5	1.313328e-02	6.830304e-01	0	0	1.140000e+01	4.939171e+01	RPUSD4;RPL12;RPLP0
GO_Molecular_Function_2021	neuropeptide Y receptor activity (GO:0004983)	3/5	1.313328e-02	6.830304e-01	0	0	1.140000e+01	4.939171e+01	NPY5R;NPY4R;NPY4R2
GO_Molecular_Function_2021	RNA strand annealing activity (GO:0033592)	3/5	1.313328e-02	6.830304e-01	0	0	1.140000e+01	4.939171e+01	FXR1;EIF4H;EIF4B
GO_Molecular_Function_2021	UDP-N-acetylglucosamine transmembrane transporter activity (GO:0005462)	3/5	1.313328e-02	6.830304e-01	0	0	1.140000e+01	4.939171e+01	SLC35B4;SLC35D1;SLC35D2
