SampleID,Amputation,OA_TKR
ERR2209858,2,0
ERR2209859,0,2
ERR2209860,0,2
ERR2209861,0,2
ERR2209862,0,2
ERR2209863,0,2
ERR2209864,0,2
ERR2209865,0,2
ERR2209866,0,2
ERR2209867,0,2
ERR2209868,0,2
ERR2209869,1,1
ERR2209870,2,0
ERR2209871,2,0
ERR2209872,0,2
ERR2209873,0,2
ERR2209874,0,2
ERR2209875,0,2
ERR2209876,0,2
ERR2209877,1,1
ERR2209878,0,2
ERR2209879,0,2
ERR2209880,0,2
ERR2209881,0,2
ERR2209882,0,2
ERR2209883,2,0
ERR2209885,0,2
ERR2209886,0,2
ERR2209887,0,2
ERR2209888,1,1
ERR2209889,0,2
ERR2209890,0,2
ERR2209891,0,2
ERR2209892,0,2
ERR2209893,2,0
ERR2209894,1,1
ERR2209895,2,0
ERR2209896,2,0
ERR2209897,1,1
ERR2209898,0,2
ERR2209899,0,2
ERR2209900,0,2
ERR2209901,0,2
ERR2209902,0,2
ERR2209903,0,2
ERR2209904,0,2
ERR2209905,0,2
ERR2209906,0,2
ERR2209907,0,2
ERR2209908,1,1
ERR2209909,1,1
ERR2209910,2,0
ERR2209911,0,2
ERR2209912,0,2
ERR2209913,0,2
ERR2209914,0,2
ERR2209915,0,2
ERR2209916,0,2
ERR2209917,0,2
ERR2209918,0,2
ERR2209919,0,2
ERR2209920,0,2
ERR2209921,1,1
ERR2209922,0,2
ERR2209923,0,2
ERR2209924,0,2
ERR2209925,0,2
ERR2209926,0,2
ERR2209927,0,2
ERR2209928,0,2
ERR2209929,0,2
ERR2209930,0,2
ERR2209931,0,2
ERR2209932,0,2
