Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	procollagen-proline dioxygenase activity (GO:0019798)	6/8	5.615829796266356e-05	0.0242603847198706	0	0	22.829457364341085	223.4395723341528	P4HA1;P4HA2;P4HA3;P3H2;P3H3;P4HB
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	6/8	5.615829796266356e-05	0.0242603847198706	0	0	22.829457364341085	223.4395723341528	RPS15;RPL5;RPS7;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	14/41	0.00013326605526482117	0.0327849267712971	0	0	3.953871762860527	35.28104227006798	EIF1;EIF3M;EIF3K;EIF3L;EIF3I;EIF3G;EIF3H;EIF3F;EIF3C;EIF3D;EIF4G3;EIF3A;EIF4G2;EIF2A
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	6/9	0.0001517820683856348	0.0327849267712971	0	0	15.218776916451334	133.8196920072671	RPS15;RPL5;RPS7;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	procollagen-proline 4-dioxygenase activity (GO:0004656)	4/5	0.0008306136025210293	0.1265926272565608	0	0	30.414802065404476	215.74271001409815	P4HA1;P4HA2;P4HA3;P4HB
GO_Molecular_Function_2021	peptidyl-proline 4-dioxygenase activity (GO:0031545)	5/8	0.0008791154670594501	0.1265926272565608	0	0	12.676854641985935	89.20188320527521	EGLN1;P4HA1;P4HA2;P4HA3;P4HB
GO_Molecular_Function_2021	mRNA 5'-UTR binding (GO:0048027)	8/25	0.0058033375009409	0.6830304286958069	0	0	3.581135902636917	18.44042223126062	RPL5;RPS14;RSL1D1;RPL41;RPS7;SHMT1;RPL26;RPS13
GO_Molecular_Function_2021	rRNA binding (GO:0019843)	11/42	0.0072075260210468	0.6830304286958069	0	0	2.7016442284934636	13.326210069100052	RPL5;RPS14;RPS9;RPL12;RPS5;RPL11;RPLP0;RPS3;CIRBP;NOP53;RPS13
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	44/263	0.0084445510180987	0.6830304286958069	0	0	1.5352621772265271	7.329700725066687	RPL5;SHMT1;YBX3;ELAVL2;RPL7;NYNRIN;FXR1;RPS14;ZFP36;PCBP4;PCBP2;RPS3;RPL35;RPS2;NUDT16;RPS13;EIF2A;RBFOX1;RPL41;YTHDF2;YTHDF3;RPS7;PABPC4;RPS5;CNBP;CIRBP;SAMD4A;RPL13A;THOC5;PTBP3;DAZL;RSL1D1;PKM;ESRP2;HNRNPA2B1;RPL26;CALR;PABPC1;EIF4G3;LSM14A;EIF3D;RBMX;EIF4G2;EIF3A
GO_Molecular_Function_2021	pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	4/8	0.008700230378341	0.6830304286958069	0	0	7.602409638554217	36.06891618093203	SLC35A2;SLC35B4;SLC35D1;SLC35D2
GO_Molecular_Function_2021	ionotropic glutamate receptor activity (GO:0004970)	6/17	0.0098005093267061	0.6830304286958069	0	0	4.148696264975335	19.189051635667415	GRIA2;GRIN2A;GRIK3;GRIK1;GRIN2C;GRIA3
GO_Molecular_Function_2021	annealing activity (GO:0097617)	3/5	0.0131332752237354	0.6830304286958069	0	0	11.4	49.39171040577096	FXR1;EIF4H;EIF4B
GO_Molecular_Function_2021	large ribosomal subunit rRNA binding (GO:0070180)	3/5	0.0131332752237354	0.6830304286958069	0	0	11.4	49.39171040577096	RPUSD4;RPL12;RPLP0
GO_Molecular_Function_2021	neuropeptide Y receptor activity (GO:0004983)	3/5	0.0131332752237354	0.6830304286958069	0	0	11.4	49.39171040577096	NPY5R;NPY4R;NPY4R2
GO_Molecular_Function_2021	RNA strand annealing activity (GO:0033592)	3/5	0.0131332752237354	0.6830304286958069	0	0	11.4	49.39171040577096	FXR1;EIF4H;EIF4B
GO_Molecular_Function_2021	UDP-N-acetylglucosamine transmembrane transporter activity (GO:0005462)	3/5	0.0131332752237354	0.6830304286958069	0	0	11.4	49.39171040577096	SLC35B4;SLC35D1;SLC35D2
