sample_id,agglomerative_k6
ERR2209858,3
ERR2209859,4
ERR2209860,1
ERR2209861,1
ERR2209862,2
ERR2209863,2
ERR2209864,2
ERR2209865,1
ERR2209866,1
ERR2209867,1
ERR2209868,4
ERR2209869,2
ERR2209870,0
ERR2209871,3
ERR2209872,2
ERR2209873,0
ERR2209874,2
ERR2209875,2
ERR2209876,1
ERR2209877,0
ERR2209878,1
ERR2209879,1
ERR2209880,2
ERR2209881,2
ERR2209882,2
ERR2209883,3
ERR2209884,0
ERR2209885,5
ERR2209886,1
ERR2209887,1
ERR2209888,4
ERR2209889,0
ERR2209890,1
ERR2209891,2
ERR2209892,2
ERR2209893,3
ERR2209894,0
ERR2209895,3
ERR2209896,3
ERR2209897,1
ERR2209898,1
ERR2209899,2
ERR2209900,2
ERR2209901,2
ERR2209902,0
ERR2209903,0
ERR2209904,2
ERR2209905,2
ERR2209906,2
ERR2209907,2
ERR2209908,1
ERR2209909,2
ERR2209910,3
ERR2209911,2
ERR2209912,5
ERR2209913,2
ERR2209914,4
ERR2209915,2
ERR2209916,2
ERR2209917,2
ERR2209918,0
ERR2209919,5
ERR2209920,5
ERR2209921,1
ERR2209922,2
ERR2209923,2
ERR2209924,2
ERR2209925,1
ERR2209926,2
ERR2209927,2
ERR2209928,5
ERR2209929,0
ERR2209930,2
ERR2209931,2
ERR2209932,5
