compare_a,compare_b,chi2,dof,p_value,p_adj
kmeans_k3,gmm_k3,150.0,4,2.035764090974152e-31,1.1196702500357836e-29
agglomerative_k2,agglomerative_k3,74.99999999999999,2,5.175555005801914e-17,1.4232776265955264e-15
kmeans_k2,gmm_k2,68.18344234309674,1,1.489714095265456e-16,2.7311425079866696e-15
kmedoids_k2,kmedoids_k3,62.25741901381861,2,3.026726870880477e-14,4.161749447460656e-13
spectral_k3,agglomerative_k3,68.9083820662768,4,3.858358131878931e-14,4.244193945066824e-13
kmeans_k2,kmeans_k3,57.98891129032257,2,2.557807800647676e-13,1.5631047670624688e-12
kmeans_k2,gmm_k3,57.98891129032257,2,2.557807800647676e-13,1.5631047670624688e-12
gmm_k2,kmeans_k3,57.98891129032257,2,2.557807800647676e-13,1.5631047670624688e-12
gmm_k2,gmm_k3,57.98891129032257,2,2.557807800647676e-13,1.5631047670624688e-12
agglomerative_k2,spectral_k3,57.39975512702785,2,3.434009900007513e-13,1.888705445004132e-12
spectral_k2,spectral_k3,54.147808095176515,2,1.7456326993107298e-12,8.728163496553649e-12
kmeans_k2,agglomerative_k3,49.04335901789212,2,2.240628740015366e-11,9.479583130834242e-11
gmm_k2,agglomerative_k3,49.04335901789212,2,2.240628740015366e-11,9.479583130834242e-11
assn1_group,agglomerative_k3,42.54828991671097,2,5.764428243340165e-10,2.189437425789282e-09
assn1_group,spectral_k3,42.47780838689929,2,5.971192979425314e-10,2.189437425789282e-09
assn1_group,agglomerative_k2,35.12444520967248,1,3.0929368912958887e-09,1.0631970563829618e-08
kmeans_k3,agglomerative_k3,39.91124627606753,4,4.515268365787959e-08,1.379665333990765e-07
gmm_k3,agglomerative_k3,39.91124627606753,4,4.515268365787959e-08,1.379665333990765e-07
agglomerative_k3,kmedoids_k3,31.38989511565689,4,2.54891845100034e-06,6.677401372267768e-06
kmeans_k3,spectral_k3,31.389365351629504,4,2.5495532512295117e-06,6.677401372267768e-06
gmm_k3,spectral_k3,31.389365351629504,4,2.5495532512295117e-06,6.677401372267768e-06
spectral_k2,kmeans_k3,24.2740009125312,2,5.357567790660856e-06,1.281157515158031e-05
spectral_k2,gmm_k3,24.2740009125312,2,5.357567790660856e-06,1.281157515158031e-05
spectral_k2,kmedoids_k2,18.510043424266975,1,1.690113370677732e-05,3.873176474469803e-05
spectral_k3,kmedoids_k3,26.391444812497447,4,2.638323661974844e-05,5.804312056344657e-05
kmeans_k2,spectral_k3,20.01466275659824,2,4.5068302829279634e-05,9.18058020596437e-05
gmm_k2,spectral_k3,20.01466275659824,2,4.5068302829279634e-05,9.18058020596437e-05
kmedoids_k2,spectral_k3,19.812182079040042,2,4.986999495745612e-05,9.795891866643168e-05
spectral_k2,kmedoids_k3,18.54299963718246,2,9.406732406538128e-05,0.00017840354564124038
kmedoids_k2,agglomerative_k3,18.366306728082762,2,0.00010275599466602225,0.0001883859902210408
spectral_k2,agglomerative_k3,18.007411843976943,2,0.0001229533033805835,0.0002181429576107127
kmeans_k2,spectral_k2,13.791848079305634,1,0.0002042204250318302,0.00034036737505305036
gmm_k2,spectral_k2,13.791848079305634,1,0.0002042204250318302,0.00034036737505305036
kmeans_k2,kmedoids_k3,16.674787273585757,2,0.00023939548209720793,0.00037619290043846963
gmm_k2,kmedoids_k3,16.674787273585757,2,0.00023939548209720793,0.00037619290043846963
agglomerative_k2,kmedoids_k2,9.953575388026607,1,0.0016053730782175418,0.0024526533139434667
kmeans_k3,kmedoids_k3,15.18457734957859,4,0.004333310239724802,0.006271896399601687
gmm_k3,kmedoids_k3,15.18457734957859,4,0.004333310239724802,0.006271896399601687
spectral_k2,agglomerative_k2,7.84159608172766,1,0.005105750651827282,0.00720041758591027
agglomerative_k2,kmedoids_k3,10.473152578415736,2,0.0053184344821460925,0.007312847412950877
assn1_group,kmedoids_k2,5.9591838398330506,1,0.014640817066076381,0.019617011616556334
kmedoids_k2,kmeans_k3,8.354982438212284,2,0.015336936354762225,0.019617011616556334
kmedoids_k2,gmm_k3,8.354982438212284,2,0.015336936354762225,0.019617011616556334
kmeans_k2,kmedoids_k2,4.323535419433162,1,0.037588748566389274,0.04594180380336466
gmm_k2,kmedoids_k2,4.323535419433162,1,0.037588748566389274,0.04594180380336466
assn1_group,kmedoids_k3,5.62200956937799,2,0.0601445297188878,0.07191193770736586
agglomerative_k2,kmeans_k3,4.245283018867924,2,0.11971498222856017,0.13717341713689188
agglomerative_k2,gmm_k3,4.245283018867924,2,0.11971498222856017,0.13717341713689188
assn1_group,spectral_k2,1.9011460623302732,1,0.16795009428826588,0.18851541195621682
kmeans_k2,agglomerative_k2,0.9900885404917664,1,0.3197207353866469,0.34479687149540356
gmm_k2,agglomerative_k2,0.9900885404917664,1,0.3197207353866469,0.34479687149540356
assn1_group,kmeans_k3,0.8951543739279587,2,0.6391748783779203,0.6632946851091626
assn1_group,gmm_k3,0.8951543739279587,2,0.6391748783779203,0.6632946851091626
assn1_group,kmeans_k2,0.0,1,1.0,1.0
assn1_group,gmm_k2,0.0,1,1.0,1.0
