,group_majority_frac,cluster_majority_frac,true_group,true_cluster
ERR2209858,1.0,1.0,Control,1
ERR2209859,1.0,1.0,OA,0
ERR2209860,1.0,1.0,OA,1
ERR2209861,1.0,1.0,OA,1
ERR2209862,1.0,1.0,OA,0
ERR2209863,1.0,1.0,OA,0
ERR2209864,1.0,0.5,OA,0
ERR2209865,1.0,1.0,OA,1
ERR2209866,1.0,1.0,OA,1
ERR2209867,1.0,1.0,OA,1
ERR2209868,1.0,1.0,OA,1
ERR2209869,0.5,0.75,OA,0
ERR2209870,1.0,0.75,Control,0
ERR2209871,1.0,1.0,Control,1
ERR2209872,1.0,1.0,OA,0
ERR2209873,1.0,1.0,OA,0
ERR2209874,1.0,0.75,OA,1
ERR2209875,1.0,0.5,OA,1
ERR2209876,1.0,1.0,OA,1
ERR2209877,0.75,1.0,OA,0
ERR2209878,1.0,1.0,OA,1
ERR2209879,1.0,1.0,OA,1
ERR2209880,1.0,1.0,OA,0
ERR2209881,1.0,1.0,OA,0
ERR2209882,1.0,1.0,OA,0
ERR2209883,1.0,1.0,Control,1
ERR2209884,0.5,1.0,OA,0
ERR2209885,1.0,0.5,OA,0
ERR2209886,1.0,1.0,OA,1
ERR2209887,1.0,1.0,OA,1
ERR2209888,0.5,1.0,OA,1
ERR2209889,1.0,1.0,OA,0
ERR2209890,1.0,0.5,OA,1
ERR2209891,1.0,1.0,OA,0
ERR2209892,1.0,1.0,OA,0
ERR2209893,1.0,1.0,Control,1
ERR2209894,1.0,0.75,Control,0
ERR2209895,1.0,1.0,Control,1
ERR2209896,1.0,1.0,Control,1
ERR2209897,0.75,1.0,OA,1
ERR2209898,1.0,1.0,OA,1
ERR2209899,1.0,1.0,OA,0
ERR2209900,1.0,0.75,OA,0
ERR2209901,1.0,1.0,OA,0
ERR2209902,1.0,1.0,OA,0
ERR2209903,1.0,1.0,OA,0
ERR2209904,1.0,1.0,OA,0
ERR2209905,1.0,1.0,OA,0
ERR2209906,1.0,1.0,OA,0
ERR2209907,1.0,1.0,OA,0
ERR2209908,0.75,0.75,OA,1
ERR2209909,0.5,1.0,OA,1
ERR2209910,1.0,1.0,Control,1
ERR2209911,1.0,1.0,OA,0
ERR2209912,1.0,0.5,OA,0
ERR2209913,1.0,1.0,OA,0
ERR2209914,1.0,1.0,OA,0
ERR2209915,1.0,1.0,OA,0
ERR2209916,1.0,1.0,OA,0
ERR2209917,1.0,1.0,OA,0
ERR2209918,1.0,1.0,OA,0
ERR2209919,1.0,1.0,OA,0
ERR2209920,1.0,1.0,OA,0
ERR2209921,0.75,0.75,OA,1
ERR2209922,1.0,1.0,OA,0
ERR2209923,1.0,1.0,OA,0
ERR2209924,1.0,1.0,OA,0
ERR2209925,1.0,1.0,OA,1
ERR2209926,1.0,0.5,OA,1
ERR2209927,1.0,1.0,OA,0
ERR2209928,1.0,1.0,OA,0
ERR2209929,1.0,1.0,OA,0
ERR2209930,1.0,1.0,OA,0
ERR2209931,1.0,0.75,OA,0
ERR2209932,1.0,1.0,OA,0
