sample_id,spectral_k6
ERR2209858,3
ERR2209859,5
ERR2209860,0
ERR2209861,0
ERR2209862,5
ERR2209863,5
ERR2209864,1
ERR2209865,0
ERR2209866,0
ERR2209867,0
ERR2209868,0
ERR2209869,4
ERR2209870,5
ERR2209871,3
ERR2209872,4
ERR2209873,2
ERR2209874,0
ERR2209875,0
ERR2209876,0
ERR2209877,2
ERR2209878,0
ERR2209879,0
ERR2209880,4
ERR2209881,4
ERR2209882,4
ERR2209883,3
ERR2209884,2
ERR2209885,1
ERR2209886,0
ERR2209887,0
ERR2209888,0
ERR2209889,2
ERR2209890,0
ERR2209891,4
ERR2209892,4
ERR2209893,3
ERR2209894,2
ERR2209895,3
ERR2209896,3
ERR2209897,3
ERR2209898,0
ERR2209899,0
ERR2209900,4
ERR2209901,5
ERR2209902,2
ERR2209903,2
ERR2209904,4
ERR2209905,5
ERR2209906,5
ERR2209907,5
ERR2209908,3
ERR2209909,0
ERR2209910,3
ERR2209911,5
ERR2209912,1
ERR2209913,5
ERR2209914,5
ERR2209915,4
ERR2209916,5
ERR2209917,4
ERR2209918,2
ERR2209919,1
ERR2209920,1
ERR2209921,0
ERR2209922,5
ERR2209923,5
ERR2209924,5
ERR2209925,0
ERR2209926,1
ERR2209927,1
ERR2209928,1
ERR2209929,2
ERR2209930,5
ERR2209931,1
ERR2209932,1
